MALAY|MALAY
Pending|Menunggu Pengesahan<BR>Pengarah Bahagian
Supported|Disokong
Not Supported|Tidak Disokong
Viewed|Diproses
Approved|Diluluskan
Not Approved|Tidak Lulus
Call for Test|Dipanggil untuk ujian
Call for Interview|Dipanggil until interview
Successful|Berjaya
Rejected|Direjek
Not Successful|Tidak Berjaya
Main Office|Ibu Pejabat
State/District|Negeri/Daerah
Project|Projek

Current Experience|Tahun Perkhidmatan Terkini
Historical Experience|Tahun Perkhidmatan Selepas
Total Experience by State|Jumlah Tahun Perkhidmatan dalam negeri

Session Expired|Sesi Tamat
You have left this browser idle for more than 10 minutes.|Anda telah meninggalkan sistem ini dalam keadaan idle selama 10 minit.<BR>Sesi ini telah tamat.